canonical	preferred_dir	preferred_path	preferred_frontmatter_name	aliases
actions-debugging	actions-debugging	.codex/skills/actions-debugging/SKILL.md	actions-debugging-722487	tools-copilot-toolkit-skills-actions-debugging-skill
add-new-feature	add-new-feature	.codex/skills/add-new-feature/SKILL.md	add-new-feature-2d9f08	
add-to-specification	add-to-specification	.codex/skills/add-to-specification/SKILL.md	add-to-specification-833834	
agent-builder	agent-builder	.codex/skills/agent-builder/SKILL.md	agent-builder-92e98b	skills-agent-builder-skill
agent-configuration	agent-configuration	.codex/skills/agent-configuration/SKILL.md	agent-configuration-78bcf6	
agent-customization	agent-customization	.codex/skills/agent-customization/SKILL.md	agent-customization-c830d4	
agent-development	agent-development	.codex/skills/agent-development/SKILL.md	agent-development	skills-agent-development-skill
agent-orchestration	agent-orchestration	.codex/skills/agent-orchestration/SKILL.md	agent-orchestration-984e3f	
agent-workflow-builder_ai_toolkit	agent-workflow-builder_ai_toolkit	.codex/skills/agent-workflow-builder_ai_toolkit/SKILL.md	agent-workflow-builder-ai-toolkit	
agentic-eval	agentic-eval	.codex/skills/agentic-eval/SKILL.md	agentic-eval-40bffa	
agents-overview	agents-overview	.codex/skills/agents-overview/SKILL.md	agents-overview-866945	
ai-asset-cataloger	ai-asset-cataloger	.codex/skills/ai-asset-cataloger/SKILL.md	ai-asset-cataloger-bd9810	
ai-logic	ai-logic	.codex/skills/ai-logic/SKILL.md	ai-logic-8ac66a	
ai-pdf-reader	ai-pdf-reader	.codex/skills/ai-pdf-reader/SKILL.md	ai-pdf-reader-3cf50a	
algorithms-optimization	algorithms-optimization	.codex/skills/algorithms-optimization/SKILL.md	algorithms-optimization-b670cb	skills-algorithms-optimization-skill
analyze-project	analyze-project	.codex/skills/analyze-project/SKILL.md	analyze-project-69f2ae	
api-design	api-design	.codex/skills/api-design/SKILL.md	api-design-5cbcbd	skills-api-design-skill
appinsights-instrumentation	appinsights-instrumentation	.codex/skills/appinsights-instrumentation/SKILL.md	appinsights-instrumentation-3e9336	
architect	architect	.codex/skills/architect/SKILL.md	architect-0b9520	
architect-system-prompt	architect-system-prompt	.codex/skills/architect-system-prompt/SKILL.md	architect-system-prompt-ecb4ac	
ask-a-question	ask-a-question	.codex/skills/ask-a-question/SKILL.md	ask-a-question-827b86	
ask-questions	ask-questions	.codex/skills/ask-questions/SKILL.md	ask-questions-52b8b4	
atlas	atlas	.codex/skills/atlas/SKILL.md	atlas-263b37	-curated-atlas-skill
azure-deployment-preflight	azure-deployment-preflight	.codex/skills/azure-deployment-preflight/SKILL.md	azure-deployment-preflight-063fcc	
azure-devops-cli	azure-devops-cli	.codex/skills/azure-devops-cli/SKILL.md	azure-devops-cli-db5bf2	
azure-resource-visualizer	azure-resource-visualizer	.codex/skills/azure-resource-visualizer/SKILL.md	azure-resource-visualizer-3c5ee7	
azure-role-selector	azure-role-selector	.codex/skills/azure-role-selector/SKILL.md	azure-role-selector-b86148	
azure-static-web-apps	azure-static-web-apps	.codex/skills/azure-static-web-apps/SKILL.md	azure-static-web-apps-ee6066	
backend-services	backend-services	.codex/skills/backend-services/SKILL.md	backend-services-e79f62	skills-backend-services-skill
base	base	.codex/skills/base/SKILL.md	base-ad80ac	
binary-analysis-playbook	binary-analysis-playbook	.codex/skills/binary-analysis-playbook/SKILL.md	binary-analysis-playbook-2c9c00	
breakdown	breakdown	.codex/skills/breakdown/SKILL.md	breakdown-c6656c	
breakdown-code-instructions	breakdown-code-instructions	.codex/skills/breakdown-code-instructions/SKILL.md	breakdown-code-instructions-106d91	
bug-found-or-add-logs	bug-found-or-add-logs	.codex/skills/bug-found-or-add-logs/SKILL.md	bug-found-or-add-logs-ab13ec	
bug-hunter	bug-hunter	.codex/skills/bug-hunter/SKILL.md	bug-hunter-3d6e09	
bug-hunter-iteration-prompt	bug-hunter-iteration-prompt	.codex/skills/bug-hunter-iteration-prompt/SKILL.md	bug-hunter-iteration-prompt-900df7	
bug-hunter-pro	bug-hunter-pro	.codex/skills/bug-hunter-pro/SKILL.md	bug-hunter-pro-9c00cc	
bug-hunter-system-prompt	bug-hunter-system-prompt	.codex/skills/bug-hunter-system-prompt/SKILL.md	bug-hunter-system-prompt-ebca16	
bug-investigation	bug-investigation	.codex/skills/bug-investigation/SKILL.md	bug-investigation-871246	skills-bug-investigation-skill
bug-report	bug-report	.codex/skills/bug-report/SKILL.md	bug-report-04f934	
bug-report-analyzer	bug-report-analyzer	.codex/skills/bug-report-analyzer/SKILL.md	bug-report-analyzer-b256ff	
bug-report-review-prompt	bug-report-review-prompt	.codex/skills/bug-report-review-prompt/SKILL.md	bug-report-review-prompt-2423d6	
build-champ-prompt	build-champ-prompt	.codex/skills/build-champ-prompt/SKILL.md	build-champ-prompt-62b925	
build-frontend	build-frontend	.codex/skills/build-frontend/SKILL.md	build-frontend-e5a69d	
build-full-specification	build-full-specification	.codex/skills/build-full-specification/SKILL.md	build-full-specification-b41a14	
build-triage-master	build-triage-master	.codex/skills/build-triage-master/SKILL.md	build-triage-master-1f9ebd	
cfg-disassembly-mapper	cfg-disassembly-mapper	.codex/skills/cfg-disassembly-mapper/SKILL.md	cfg-disassembly-mapper-7b3133	
change-notification	change-notification	.codex/skills/change-notification/SKILL.md	change-notification-844064	
chat	chat	.codex/skills/chat/SKILL.md	chat-f6143a	
chat-agent-system-prompt	chat-agent-system-prompt	.codex/skills/chat-agent-system-prompt/SKILL.md	chat-agent-system-prompt-02ec56	
checklist-driven-delivery	checklist-driven-delivery	.codex/skills/checklist-driven-delivery/SKILL.md	checklist-driven-delivery-336a70	skills-checklist-driven-delivery-skill
chrome-devtools	chrome-devtools	.codex/skills/chrome-devtools/SKILL.md	chrome-devtools-99bddc	
chrome-screen-ai	chrome-screen-ai	.codex/skills/chrome-screen-ai/SKILL.md	chrome-screen-ai-020f6d	
chromium-docs	chromium-docs	.codex/skills/chromium-docs/SKILL.md	chromium-docs-7086de	
claude-code	claude-code	.codex/skills/claude-code/SKILL.md	claude-code-263266	
claude-code-action	claude-code-action	.codex/skills/claude-code-action/SKILL.md	claude-code-action-217885	
claude-code-base-action	claude-code-base-action	.codex/skills/claude-code-base-action/SKILL.md	claude-code-base-action-692ddf	
claude-code-plugins	claude-code-plugins	.codex/skills/claude-code-plugins/SKILL.md	claude-code-plugins-671e78	
claude-opus-4-5-migration	claude-opus-4-5-migration	.codex/skills/claude-opus-4-5-migration/SKILL.md	claude-opus-4-5-migration-602bd8	skills-claude-opus-4-5-migration-skill
cloudflare-deploy	cloudflare-deploy	.codex/skills/cloudflare-deploy/SKILL.md	cloudflare-deploy-ebfc82	-curated-cloudflare-deploy-skill
code-linting	code-linting	.codex/skills/code-linting/SKILL.md	code-linting-4079e5	
code-monkey	code-monkey	.codex/skills/code-monkey/SKILL.md	code-monkey-fe4d91	
code-monkey-breakdown-prompt	code-monkey-breakdown-prompt	.codex/skills/code-monkey-breakdown-prompt/SKILL.md	code-monkey-breakdown-prompt-8b7ad4	
code-monkey-iteration-prompt	code-monkey-iteration-prompt	.codex/skills/code-monkey-iteration-prompt/SKILL.md	code-monkey-iteration-prompt-a0d7fc	
code-monkey-system-prompt	code-monkey-system-prompt	.codex/skills/code-monkey-system-prompt/SKILL.md	code-monkey-system-prompt-b70b57	
code-review	code-review	.codex/skills/code-review/SKILL.md	code-review-abde6e	skills-code-review-skill
code-review-structured	code-review-structured	.codex/skills/code-review-structured/SKILL.md	code-review-structured-abc390	skills-code-review-structured-skill
codenotify-prompt	codenotify-prompt	.codex/skills/codenotify-prompt/SKILL.md	codenotify-prompt-191ba2	
codex-tool-catalog	codex-tool-catalog	.codex/skills/codex-tool-catalog/SKILL.md	codex-tool-catalog-73e91f	
coding-rules	coding-rules	.codex/skills/coding-rules/SKILL.md	coding-rules-cb3323	
coding-tools	coding-tools	.codex/skills/coding-tools/SKILL.md	coding-tools-d1f49b	
command-development	command-development	.codex/skills/command-development/SKILL.md	command-development	skills-command-development-skill
command-executor	command-executor	.codex/skills/command-executor/SKILL.md	command-executor-1488a5	
commit	commit	.codex/skills/commit/SKILL.md	commit-40d441	
component-architecture	component-architecture	.codex/skills/component-architecture/SKILL.md	component-architecture-eba386	
component-prompt	component-prompt	.codex/skills/component-prompt/SKILL.md	component-prompt-cf0e58	
configure-template	configure-template	.codex/skills/configure-template/SKILL.md	configure-template-f740d5	
convo	convo	.codex/skills/convo/SKILL.md	convo-1d1f43	
copilot-sdk	copilot-sdk	.codex/skills/copilot-sdk/SKILL.md	copilot-sdk-243720	
create-docs-queries	create-docs-queries	.codex/skills/create-docs-queries/SKILL.md	create-docs-queries-d65659	
